Log created: 2024-08-06 14:02:10
Type: backup
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_nextend2_smartslider3_sliders_xref
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_tec_events
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_tm_tasks
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_wc_product_attributes_lookup
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_wc_product_download_directories
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_wc_rate_limits
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_wc_tax_rate_classes
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_wc_webhooks
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_woocommerce_attribute_taxonomies
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_woocommerce_log
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_woocommerce_order_items
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_woocommerce_payment_tokens
[2024-08-06 14:02:17][notice]Preparing to dump table wpzo_woocommerce_sessions
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_wpda_project
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_wpda_project_page
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_wpda_publisher
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_wpuf_subscribers
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_yith_wcwl
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_yoast_migrations
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bm_message_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bm_thread_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bm_user_index
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_activity_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_friends
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_groups_groupmeta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_messages_messages
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_messages_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_notifications_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_user_blogs
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_user_blogs_blogmeta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_xprofile_data
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bp_xprofile_meta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_bpbm_threadsmeta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_commentmeta
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_e_submissions_values
[2024-08-06 14:02:18][notice]Preparing to dump table wpzo_litespeed_url
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_automation_run_subjects
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_log
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_segments
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_sending_queues
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_statistics_newsletters
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_stats_notifications
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_subscriber_segment
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mailpoet_subscriber_tag
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mepr_order_meta
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mepr_subscription_meta
[2024-08-06 14:02:19][notice]Preparing to dump table wpzo_mepr_transaction_meta
